Salmonella enterica subsp. enterica serovar Typhimurium GFP (ATCC 14028GFP),$397.00,$337.45,NA,NA,NA,2,frozen,ATCC  2853: Nutrient Agar/Broth with 100 mcg/ml Ampicillin,"Temperature: 37Celsius 
Atmosphere: Aerobic",-80Celsius  or colder,Ampicillin resistance gene (bla) encoded on a plasmid. Confers resistance to 100 µg/mL ampicillin,NA,"Fluorescence detection
Fluorescence imaging
FACS
Cell infection assays
In vivo localization
Pathogen-host interactions assays",https://www.atcc.org/~/ps/14028GFP.ashx
Escherichia coli NanoLuc (ATCC BAA-2586-PACK),$550.00,$467.50,NA,NA,NA,2,frozen,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,-80Celsius  or colder,NA,NA,Food testing,https://www.atcc.org/~/ps/BAA-2586-PACK.ashx
Escherichia coli GFP (ATCC BAA-2209GFP),$550.00,$467.50,NA,Escherichia coli,2001-3357,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Ampicillin resistance gene encoded on a plasmid, which confers resistance to 250 µg/mL ampicillin",NA,Food testingEnteric research Fluorescence detection,https://www.atcc.org/~/ps/BAA-2209GFP.ashx
Escherichia coli GFP (ATCC BAA-2196GFP),$550.00,$467.50,NA,Escherichia coli,2003-3014,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Ampicillin resistance gene encoded on a plasmid, which confers resistance to 250 µg/mL ampicillin",NA,Food testingEnteric research Fluorescence detection,https://www.atcc.org/~/ps/BAA-2196GFP.ashx
Escherichia coli GFP (ATCC 51657GFP),$550.00,$467.50,NA,Escherichia coli,A,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Ampicillin resistance gene encoded on a plasmid, which confers resistance to 250 µg/mL ampicillin
Streptomycin resistant
Sulfisoxazole resistant
Tetracycline resistant",NA,Food testingEnteric research Fluorescence detection,https://www.atcc.org/~/ps/51657GFP.ashx
Escherichia coli GFP (ATCC BAA-2219GFP),$550.00,$467.50,seqeunce available,Escherichia coli,2002-3211,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Ampicillin resistance gene encoded on a plasmid, which confers resistance to 250 µg/mL ampicillin",NA,Food testingEnteric research Fluorescence detection,https://www.atcc.org/~/ps/BAA-2219GFP.ashx
Escherichia coli GFP (ATCC 25922GFP),$397.00,$337.45,seqeunce available,NA,NA,1,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Ampicillin resistance gene (bla) encoded on a plasmid. Confers resistance to 100 µg/mL ampicillin.,NA,"Fluorescence detection 
Fluorescence imaging 
FACS 
Cell infection assays 
In vivo localization 
Pathogen-host interactions assays",https://www.atcc.org/~/ps/25922GFP.ashx
Escherichia coli NanoLuc (ATCC BAA-2587-PACK),$258.00,$219.30,NA,NA,NA,2,frozen,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,-80Celsius  or colder,NA,NA,Food testing,https://www.atcc.org/~/ps/BAA-2587-PACK.ashx
Escherichia coli GFP (ATCC BAA-2215GFP),$397.00,$337.45,seqeunce available,Escherichia coli,2006-3008,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Ampicillin resistance gene encoded on a plasmid, which confers resistance to 250 µg/mL ampicillin",NA,Food testingEnteric research Fluorescence detection,https://www.atcc.org/~/ps/BAA-2215GFP.ashx
Escherichia coli GFP (ATCC 35150GFP),$424.00,$360.40,seqeunce available,Escherichia coli,EDL 931,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Ampicillin resistance gene encoded on a plasmid, which confers resistance to 250 µg/mL ampicillin",NA,Food testingEnteric research Fluorescence detection,https://www.atcc.org/~/ps/35150GFP.ashx
Salmonella enterica subsp. enterica serovar Typhimurium GFP (ATCC 14028GFP),$397.00,$337.45,NA,NA,NA,2,frozen,ATCC  2853: Nutrient Agar/Broth with 100 mcg/ml Ampicillin,"Temperature: 37Celsius 
Atmosphere: Aerobic",-80Celsius  or colder,Ampicillin resistance gene (bla) encoded on a plasmid. Confers resistance to 100 µg/mL ampicillin,NA,"Fluorescence detection
Fluorescence imaging
FACS
Cell infection assays
In vivo localization
Pathogen-host interactions assays",https://www.atcc.org/~/ps/14028GFP.ashx
Escherichia coli NanoLuc (ATCC BAA-2586-PACK),$550.00,$467.50,NA,NA,NA,2,frozen,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,-80Celsius  or colder,NA,NA,Food testing,https://www.atcc.org/~/ps/BAA-2586-PACK.ashx
Escherichia coli GFP (ATCC BAA-2209GFP),$550.00,$467.50,NA,Escherichia coli,2001-3357,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Ampicillin resistance gene encoded on a plasmid, which confers resistance to 250 µg/mL ampicillin",NA,Food testingEnteric research Fluorescence detection,https://www.atcc.org/~/ps/BAA-2209GFP.ashx
Escherichia coli GFP (ATCC BAA-2196GFP),$550.00,$467.50,NA,Escherichia coli,2003-3014,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Ampicillin resistance gene encoded on a plasmid, which confers resistance to 250 µg/mL ampicillin",NA,Food testingEnteric research Fluorescence detection,https://www.atcc.org/~/ps/BAA-2196GFP.ashx
Escherichia coli GFP (ATCC 51657GFP),$550.00,$467.50,NA,Escherichia coli,A,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Ampicillin resistance gene encoded on a plasmid, which confers resistance to 250 µg/mL ampicillin
Streptomycin resistant
Sulfisoxazole resistant
Tetracycline resistant",NA,Food testingEnteric research Fluorescence detection,https://www.atcc.org/~/ps/51657GFP.ashx
Escherichia coli GFP (ATCC BAA-2219GFP),$550.00,$467.50,seqeunce available,Escherichia coli,2002-3211,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Ampicillin resistance gene encoded on a plasmid, which confers resistance to 250 µg/mL ampicillin",NA,Food testingEnteric research Fluorescence detection,https://www.atcc.org/~/ps/BAA-2219GFP.ashx
Escherichia coli GFP (ATCC 25922GFP),$397.00,$337.45,seqeunce available,NA,NA,1,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Ampicillin resistance gene (bla) encoded on a plasmid. Confers resistance to 100 µg/mL ampicillin.,NA,"Fluorescence detection 
Fluorescence imaging 
FACS 
Cell infection assays 
In vivo localization 
Pathogen-host interactions assays",https://www.atcc.org/~/ps/25922GFP.ashx
Escherichia coli NanoLuc (ATCC BAA-2587-PACK),$258.00,$219.30,NA,NA,NA,2,frozen,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,-80Celsius  or colder,NA,NA,Food testing,https://www.atcc.org/~/ps/BAA-2587-PACK.ashx
Escherichia coli GFP (ATCC BAA-2215GFP),$397.00,$337.45,seqeunce available,Escherichia coli,2006-3008,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Ampicillin resistance gene encoded on a plasmid, which confers resistance to 250 µg/mL ampicillin",NA,Food testingEnteric research Fluorescence detection,https://www.atcc.org/~/ps/BAA-2215GFP.ashx
Escherichia coli GFP (ATCC 35150GFP),$424.00,$360.40,seqeunce available,Escherichia coli,EDL 931,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Ampicillin resistance gene encoded on a plasmid, which confers resistance to 250 µg/mL ampicillin",NA,Food testingEnteric research Fluorescence detection,https://www.atcc.org/~/ps/35150GFP.ashx
